epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.867194,2.15552,4.14044,1.5208,0.03662,0.37976,0.07707,0.03362,2.27112,3.79861,1.64978,9.09e-06,9.09e-06,9.09e-06
2,1.28479,2.07393,4.06706,1.54867,0.03784,0.39167,0.0804,0.03384,2.30777,3.78895,1.66467,2.67301e-05,2.67301e-05,2.67301e-05
3,1.73514,2.09311,4.0972,1.52159,0.0584,0.57262,0.20673,0.09914,2.24422,3.33334,1.61503,4.36502e-05,4.36502e-05,4.36502e-05
4,2.22784,1.98659,3.08033,1.45863,0.59002,0.25906,0.38909,0.21562,2.08368,2.58115,1.51318,5.98504e-05,5.98504e-05,5.98504e-05
5,2.77091,1.90456,2.32125,1.40196,0.32593,0.6,0.55182,0.25756,2.07191,2.26034,1.53651,7.53306e-05,7.53306e-05,7.53306e-05
6,3.24441,1.83029,1.88392,1.27704,0.74076,0.60766,0.71413,0.36649,1.88291,1.57093,1.41405,9.0091e-05,9.0091e-05,9.0091e-05
7,3.7937,1.48426,1.47289,1.17486,0.84561,0.79373,0.88905,0.50142,1.64966,1.40226,1.25445,0.000104131,0.000104131,0.000104131
8,4.2546,1.36649,1.40624,1.10588,0.71777,0.95043,0.9283,0.57224,1.42624,1.56731,1.16858,0.000117452,0.000117452,0.000117452
9,4.75199,1.23605,1.23147,1.09434,0.90581,0.83584,0.93968,0.56655,1.3871,1.25694,1.16433,0.000130052,0.000130052,0.000130052
10,5.19186,1.17411,1.10546,1.07523,0.94924,0.84991,0.94601,0.56291,1.34715,1.04304,1.15511,0.000141933,0.000141933,0.000141933
11,5.77577,1.06461,1.11515,1.02613,0.94232,0.91874,0.95818,0.59557,1.29248,0.98209,1.124,0.000153094,0.000153094,0.000153094
12,6.23743,1.02641,0.99015,1.02542,0.91517,0.93365,0.95816,0.62318,1.25748,1.00991,1.08616,0.000163535,0.000163535,0.000163535
13,6.75057,1.00189,0.99836,0.97724,0.88463,0.97763,0.96588,0.63875,1.20063,1.02183,1.04953,0.000173255,0.000173255,0.000173255
14,7.23969,0.99932,0.90555,0.96406,0.88314,0.9881,0.98024,0.6211,1.21894,0.95349,1.04703,0.000182256,0.000182256,0.000182256
15,7.72072,0.95421,0.83741,0.95736,0.93841,1,0.98997,0.64401,1.20313,0.88423,1.0365,0.000190537,0.000190537,0.000190537
16,8.20147,0.92207,0.84678,0.94648,0.92989,0.9881,0.98349,0.64505,1.15952,0.88637,1.02395,0.000198098,0.000198098,0.000198098
17,8.71941,0.82853,0.80296,0.92986,0.94394,0.9881,0.98357,0.6536,1.16206,0.76831,1.0105,0.00020494,0.00020494,0.00020494
18,9.18549,0.88298,0.80976,0.90713,0.9599,0.97619,0.98786,0.66639,1.10665,0.69279,0.97923,0.000211061,0.000211061,0.000211061
19,9.70782,0.83863,0.78082,0.91074,0.94349,0.98005,0.9824,0.68154,1.07497,0.68954,0.9681,0.000216462,0.000216462,0.000216462
