epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50782,2.1063,3.75896,1.71471,0.0211,0.26786,0.10305,0.03627,2.15951,3.88655,1.97395,0,0,0
2,2.99839,1.95883,3.69158,1.59868,0.02054,0.26786,0.1011,0.03551,2.14141,3.87832,1.96719,8.91002e-06,8.91002e-06,8.91002e-06
3,4.53108,2.0038,3.60864,1.62565,0.02159,0.28571,0.10439,0.0348,2.11864,3.8813,1.94315,1.74601e-05,1.74601e-05,1.74601e-05
4,5.97753,2.04659,3.7901,1.66827,0.022,0.35714,0.1025,0.03444,2.09985,3.8801,1.93446,2.56502e-05,2.56502e-05,2.56502e-05
5,7.49659,1.98221,3.82245,1.62732,0.0219,0.35714,0.10051,0.03391,2.09789,3.87469,1.92671,3.34803e-05,3.34803e-05,3.34803e-05
6,8.96137,1.9638,3.75449,1.63548,0.02226,0.36905,0.09599,0.0321,2.09585,3.87446,1.92776,4.09505e-05,4.09505e-05,4.09505e-05
7,10.4605,2.11955,3.66188,1.68526,0.956,0.42079,0.48736,0.27884,2.00534,2.06487,1.81034,4.80606e-05,4.80606e-05,4.80606e-05
8,12.5801,1.77115,2.69143,1.61621,0.9563,0.42053,0.48548,0.2782,2.00295,2.06565,1.80841,5.48109e-05,5.48109e-05,5.48109e-05
9,14.5411,1.87672,2.55376,1.6003,0.39122,0.56876,0.65625,0.3625,1.87025,2.02538,1.5082,6.12012e-05,6.12012e-05,6.12012e-05
10,16.6731,1.7325,2.26485,1.34696,0.5137,0.7381,0.78431,0.47405,1.71104,1.55123,1.37962,6.72315e-05,6.72315e-05,6.72315e-05
11,18.8907,1.55159,1.63525,1.22984,0.73749,0.82952,0.8128,0.48412,1.52082,1.74382,1.30053,7.29018e-05,7.29018e-05,7.29018e-05
