epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47058,2.14193,5.52488,1.63384,0.25449,0.1,0.04657,0.01639,2.18968,4.17199,1.93496,9.09e-06,9.09e-06,9.09e-06
2,1.82819,2.12908,5.45677,1.71861,0.25653,0.15,0.0375,0.01454,2.18553,4.17069,1.93879,2.67301e-05,2.67301e-05,2.67301e-05
3,2.13417,2.10061,5.97456,1.66281,0.50413,0.1,0.02831,0.0109,2.21045,4.17608,1.96073,4.36502e-05,4.36502e-05,4.36502e-05
4,2.51628,2.03087,5.6411,1.5515,0.5059,0.20356,0.13471,0.05558,2.19874,3.66738,1.93083,5.98504e-05,5.98504e-05,5.98504e-05
5,2.96687,2.07557,3.50499,1.61651,0.33555,0.63476,0.4676,0.28326,2.07651,2.81069,1.81715,7.53306e-05,7.53306e-05,7.53306e-05
6,3.4379,1.89265,1.8758,1.44902,0.71485,0.67543,0.69802,0.36127,1.92424,3.39502,1.62956,9.0091e-05,9.0091e-05,9.0091e-05
7,3.8745,1.55705,1.75323,1.31158,0.77124,0.78045,0.78002,0.45328,1.67174,3.11072,1.45246,0.000104131,0.000104131,0.000104131
8,4.37035,1.41176,1.52277,1.21347,0.87109,0.76099,0.86939,0.50883,1.5456,2.38097,1.36962,0.000117452,0.000117452,0.000117452
9,4.79764,1.30404,1.31149,1.17396,0.87365,0.77842,0.89243,0.53206,1.49079,2.17026,1.32877,0.000130052,0.000130052,0.000130052
10,5.24276,1.25783,1.23416,1.15797,0.81351,0.86374,0.89533,0.53615,1.44126,1.81738,1.29609,0.000141933,0.000141933,0.000141933
11,5.71702,1.09972,1.14944,1.0957,0.84195,0.87749,0.91128,0.57582,1.39564,1.51072,1.27251,0.000153094,0.000153094,0.000153094
12,6.16692,1.04406,1.03398,1.06615,0.88769,0.91514,0.92781,0.57843,1.38298,1.35679,1.24575,0.000163535,0.000163535,0.000163535
13,6.6409,1.01409,1.04969,1.01966,0.93675,0.91429,0.92913,0.59148,1.30989,1.17428,1.19314,0.000173255,0.000173255,0.000173255
14,7.11977,1.08145,0.94455,1.02645,0.92699,0.91068,0.9328,0.61824,1.25406,1.05835,1.17358,0.000182256,0.000182256,0.000182256
15,7.62666,1.01288,0.85918,1.00494,0.95117,0.90238,0.94229,0.65642,1.17267,0.96617,1.14334,0.000190537,0.000190537,0.000190537
16,8.09089,0.99507,0.87147,1.01629,0.97206,0.90238,0.94402,0.6708,1.09477,0.90487,1.1053,0.000198098,0.000198098,0.000198098
17,8.64886,0.9055,0.82423,0.97593,0.98496,0.92249,0.96074,0.68879,1.05443,0.87129,1.07065,0.00020494,0.00020494,0.00020494
18,9.11167,0.95158,0.84544,0.96826,0.95736,0.91302,0.96342,0.69714,1.06479,0.82627,1.05604,0.000211061,0.000211061,0.000211061
19,9.62376,0.88889,0.81196,0.96863,0.9376,0.9087,0.96445,0.70411,1.03469,0.78455,1.03314,0.000216462,0.000216462,0.000216462
20,10.0783,0.90552,0.76268,0.96324,0.93861,0.92866,0.96043,0.70065,0.99105,0.72078,1.01432,0.000221143,0.000221143,0.000221143
21,10.5195,0.77476,0.67656,0.91963,0.93445,0.93101,0.96321,0.70696,0.96286,0.71029,1.00664,0.000225105,0.000225105,0.000225105
22,10.9484,0.82647,0.75406,0.94591,0.95346,0.90238,0.96936,0.71332,0.95422,0.7091,0.99769,0.000228346,0.000228346,0.000228346
23,11.4158,0.71302,0.73956,0.95231,0.96019,0.9324,0.97593,0.73484,0.94792,0.65741,0.9876,0.000230868,0.000230868,0.000230868
24,11.845,0.75095,0.68725,0.94011,0.96783,0.92959,0.9771,0.74199,0.93302,0.61317,0.97442,0.000232669,0.000232669,0.000232669
25,12.2528,0.76673,0.73333,0.92623,0.95858,0.9381,0.97926,0.74852,0.91247,0.60851,0.97762,0.000233751,0.000233751,0.000233751
26,12.7254,0.78661,0.67541,0.89013,0.97828,0.93309,0.97711,0.74054,0.88905,0.60058,0.9662,0.000234113,0.000234113,0.000234113
27,13.1238,0.70642,0.65363,0.89583,0.96134,0.9381,0.97866,0.74665,0.87218,0.58681,0.95725,0.000233755,0.000233755,0.000233755
28,13.5841,0.67437,0.61174,0.86511,0.96134,0.9381,0.97866,0.74665,0.87218,0.58681,0.95725,0.000232677,0.000232677,0.000232677
29,13.9839,0.78631,0.70475,0.94061,0.98328,0.95796,0.98809,0.78539,0.83123,0.5647,0.94051,0.000230879,0.000230879,0.000230879
30,14.4555,0.68571,0.61921,0.91325,0.96209,0.95974,0.98875,0.79119,0.80351,0.55613,0.9204,0.000228361,0.000228361,0.000228361
31,14.878,0.63789,0.56013,0.87902,0.96209,0.95974,0.98875,0.79119,0.80351,0.55613,0.9204,0.000225123,0.000225123,0.000225123
32,15.3812,0.66819,0.5879,0.89889,0.97661,0.95402,0.98796,0.81829,0.75096,0.57835,0.89732,0.000221165,0.000221165,0.000221165
33,15.8249,0.70841,0.58615,0.91391,0.98691,0.95524,0.98652,0.80403,0.75604,0.57259,0.88992,0.000216487,0.000216487,0.000216487
34,16.2248,0.67013,0.62836,0.87857,0.98691,0.95524,0.98652,0.80403,0.75604,0.57259,0.88992,0.00021109,0.00021109,0.00021109
35,16.6636,0.71642,0.60535,0.87651,0.95919,0.9583,0.99156,0.78983,0.75875,0.55251,0.89079,0.000204972,0.000204972,0.000204972
36,17.078,0.68124,0.59366,0.88297,0.95539,0.96072,0.99177,0.80564,0.7335,0.53884,0.88592,0.000198135,0.000198135,0.000198135
37,17.5215,0.63308,0.58247,0.88696,0.95539,0.96072,0.99177,0.80564,0.7335,0.53884,0.88592,0.000190577,0.000190577,0.000190577
38,17.917,0.61382,0.57438,0.88632,0.98232,0.95898,0.99224,0.81618,0.72468,0.52512,0.88204,0.0001823,0.0001823,0.0001823
39,18.3556,0.60977,0.56075,0.8787,0.9893,0.9531,0.99278,0.81565,0.72317,0.51997,0.87629,0.000173303,0.000173303,0.000173303
